color,tessract_text,easyocr_text
"(173, 94, 89)","Twig, Sunset Rose q
",Twig Sunset Ruse
"(236, 94, 58)","Neon Orange
",Neon Orange
"(178, 178, 230)",,
"(210, 87, 141)","iSreathing Fire
",BBreathing Fire
"(130, 26, 27)","Love Weapon (Ltd. Ed.)
",Love Weapon (Ltd. Ed.)
"(176, 98, 96)","Cosmo |
",Cosmo
"(228, 88, 53)","Morange.
",Morange
"(118, 199, 242)",,amnol
"(183, 70, 116)","iNew York Apple.
",New York Apple
"(72, 28, 25)","BCrowned (Ltd. Ed.)
",Crowned (Ltd: Ed;)
"(243, 179, 179)",,
"(185, 80, 76)","Runway Hit. |
",Runway Hit
"(213, 89, 65)","Flamingo
",Flamingo
"(52, 97, 180)","Designer Blue
",DDesigner Blue
"(194, 60, 110)","lLickable
",Lickable
"(176, 107, 91)","fQuartzette
",Quaitzette
"(239, 169, 171)",,
"(164, 73, 68)",,"""0"""
"(203, 83, 67)","Pretty Boy
",Prettv Boy
"(39, 29, 102)","IMatte Royal
",Matte Royal
"(222, 59, 124)","IF ull Fuchsia
",Full Fuchsia
"(188, 116, 102)","BBack In Vogue
",BBack In Voque
"(241, 152, 158)",,Vledium Rare;
"(200, 90, 73)","Smoked Almond.
",Smoked Almond
"(36, 22, 57)","Blue Beat
",Blue Beat
"(207, 49, 107)","IPink Pigeon
",Pink Pigeon
"(184, 113, 91)","EBurnt Spice
",BBurnt Spice
"(240, 149, 154)",,Pure Happine
"(212, 45, 36)","Red Brick

Mulling Spices
","Red Brick , Mulling Spices"
"(207, 68, 49)","So Chaud
",So Chaud
"(15, 15, 39)","[Nico Kiss

",INico Kiss
"(103, 28, 59)","iBeetroot
",BBeetroot
"(159, 95, 85)","I Topped With Brandy.
",ITopped With Brandy
"(229, 132, 141)",,Little Buddha
"(197, 58, 53)","Lady Danger q
",Lady Danger
"(179, 85, 60)","Toast And Butter
",Toast And Butter
"(61, 30, 45)","[Sumac

",Sumac
"(190, 144, 121)","ICafe Au Chic
",(Cafe Au Chic
"(215, 124, 133)",,Singer Ruse
"(196, 53, 45)","Dozen Carnations, Sweet Sakura |
",Duzen Carnations Sweet Sakura
"(167, 154, 174)",,ghtly Charrer
"(154, 125, 111)","Simply Smoked
",{Simply Smoked
"(208, 113, 119)","Sunny Seoul }}
",Sunny Seoul
"(180, 46, 37)","Dangerous q
",Dangerous
"(229, 163, 141)",,
"(144, 113, 154)",,Pick Me; Pick Mel
"(111, 44, 62)","Fluid
",FFluid
"(139, 106, 89)","BEss-Presso
",EEss-Presso
"(204, 104, 116)",,Giddy
"(175, 52, 45)","Brave Red, Cockney
","Brave Red, Cockney"
"(219, 162, 145)",,Fleshpol;
"(133, 106, 137)","IGalaxy Grey
",Galaxy Grey
"(95, 31, 48)","Dark Side
",Dark Side
"(23, 59, 71)","HY oung Attitude
",oung Attitude
"(199, 94, 108)","Fanfare }
",Fanfare
"(151, 43, 40)","Dare You q
",Dare You
"(202, 151, 132)",,The Entelope Please
"(158, 118, 181)",,4Eva
"(85, 41, 58)","lon And On
",Un And Un
